Reference designators,Quantity,MPN,Manufacturer,Part description,Value,SPN,Supplier,Package
"C1,C10,C11,C12,C13,C14,C2,C3,C4,C5,C6,C7,C8,C9","14","","","Non-Polarized Capacitor, 100nF, C_0402","100nF","","",""
"C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30","16","","","Non-Polarized Capacitor, TBDF, SMD_0402_1005Metric","TBDF","","",""
"D1,D2","2","PESD3V3L5UY","Texas Instruments Inc.",", SOT-363_SC-70-6","","","","SOT-363_SC-70-6"
"J1","1","TYPE-C-2.0-16PIN-SMT-3-OR","CIKI(皓富)","USB Connectors, USB-SMD_TYPE-C16PIN-1","","","","USB-SMD_TYPE-C16PIN-1"
"J2","1","DS1139-06-08SS4BSR","CONNFLY Elec","Connector","","","",""
"J3","1","5034801000","Molex","Connector","","","",""
"J4","1","B2B-PH-K-S","JST","Connector, JST_B2B-PH-K-S","","","","JST_B2B-PH-K-S"
"J5","1","2.54-2*20","ZHOURI(洲日)","Female Headers, HDR-TH_40P-P2.54-V-F-R2-C20-S2.54","","","","HDR-TH_40P-P2.54-V-F-R2-C20-S2.54"
"R1,R2","2","","","Resistor, 5.1kΩ, R_0402","5.1kΩ","","",""
"R3,R4,R5","3","","","Resistor, 10kΩ, R_0402","10kΩ","","",""
"R6,R7","2","","","Resistor, 4.7kΩ, R_0402","4.7kΩ","","",""
"R8","1","","","Resistor, 100kΩ, R_0402","100kΩ","","",""
"R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R9","12","","","Resistor, TBDΩ, SMD_0402_1005Metric","TBDΩ","","",""
"SW1,SW2","2","TS-1088-AR02016","XUNPU(讯普)","Tactile Switches, SW-SMD_L3.9-W3.0-P4.45","","","","SW-SMD_L3.9-W3.0-P4.45"
"U1","1","ESP32-S3-WROOM-1-N16R8","Espressif Systems","Module","","","",""
"U2","1","ADS1298IPAGR","TI(德州仪器)","Analog To Digital Converters (ADCs), TQFP-64_L10.0-W10.0-P0.50-LS12.0-BL","","","","TQFP-64_L10.0-W10.0-P0.50-LS12.0-BL"
"U3","1","MP2662","Monolithic Power Systems",", WLCSP-9_1p75MMx1p75MM_MP2662_MNP","","","","WLCSP-9_1p75MMx1p75MM_MP2662_MNP"
"U4","1","AP2112K-3.3TRG1","Diodes Incorporated","Integrated Circuit","","","",""
"U5","1","REF5025IDGK","Texas Instruments","Integrated Circuit","","","",""
